# Voltage [mV]	Duration [ms]
 5.99999999997637019e+01	 8.37087867823455667e+02
-4.37406425331430455e+01	 5.06073001010059158e+02
-1.19999999999717460e+02	 8.91894230521947861e+02
-9.06534397338897264e+01	 5.00871683812474657e+01
-1.52987321152088072e+01	 5.00000000060292678e+01
 5.68416574137846453e+01	 5.00031818567564130e+01
-4.42514519893804561e+01	 6.78556650611682585e+02
 5.99999999988548609e+01	 7.63002722904674215e+02
-1.19999999997653333e+02	 6.06474241060833265e+02
-7.47982787042548267e+01	 5.00000000052299001e+01
-1.07925483203002898e+02	 5.00000000163992908e+01
 1.33351628998786964e+01	 9.80489947014145855e+01
 5.99999999988921786e+01	 1.28920829844500986e+02
-4.42615799111895285e+01	 4.85593553811864410e+02
-1.19999999999663430e+02	 2.62528153541483107e+02
-3.20639889328738548e+01	 5.00000001005141712e+01
 2.86610788544646198e+01	 5.00000000022606486e+01
 3.28810614946543183e+01	 5.01560763277690427e+01
 5.99999999994006998e+01	 9.25991123138344278e+02
-1.19999999994822019e+02	 6.47236515910081607e+02
 5.99999999980788346e+01	 4.43782274034084139e+02
-6.81621340567128016e+01	 9.99999999811141834e+02
-8.54193636345713259e+01	 5.00000000909473599e+01
-1.03683464854043777e+02	 5.00000000374098406e+01
-1.19999999519700154e+02	 1.72186316473715181e+02
 5.99999999991197512e+01	 4.84253216524321090e+02
-5.24686365680415747e+01	 4.66334010163376263e+02
-3.70745050356028543e+01	 9.99999999986253215e+02
-4.65756205981307403e+01	 9.99500000273174578e+02
-1.11102538215367971e+02	 1.00087084889795051e+02
 5.99999999981272936e+01	 5.23924918477813435e+02
-1.19999999999511715e+02	 9.01339469678005912e+02
 5.99999999996109352e+01	 7.79944854028660416e+02
-7.25616650256381774e+01	 5.00000000018719675e+01
 2.81812530341036052e+01	 5.04999998612427277e+01
 2.12376231312179868e+01	 5.00000000538677796e+01
 5.99999999995966107e+01	 4.23943860604284396e+02
-4.27668219262797038e+01	 4.65670100448675385e+02
-1.19999999999959456e+02	 3.47375726037623508e+02
-9.05064448209115682e+01	 5.00000000045629633e+01
 3.61309554997518489e+01	 5.04999991635929675e+01
 8.70425837529558066e+00	 5.00000001363682074e+01
-1.19999999864038145e+02	 1.10316388357592245e+02
 5.99999999995224016e+01	 5.54161849030166195e+02
-1.19999999998074514e+02	 5.40895612909534123e+01
