Iter. Eval.  Best      Time m:s
0     11      0.2468     0:00.4
1     22      0.245      0:00.7
2     32      0.237      0:01.0
3     43      0.231      0:01.3
20    186     0.223      0:06.3
40    359     0.223      0:12.3
60    534     0.223      0:18.1
80    711     0.222      0:24.1
100   878     0.222      0:30.0
120   1058    0.222      0:35.8
140   1247    0.222      0:41.7
160   1461    0.222      0:47.6
180   1701    0.222      0:53.6
200   1922    0.221      0:59.6
220   2103    0.221      1:05.6
240   2285    0.221      1:11.6
260   2482    0.221      1:17.5
280   2686    0.22       1:23.6
300   2856    0.22       1:29.7
320   3033    0.219      1:35.6
340   3177    0.219      1:41.6
360   3358    0.219      1:47.6
380   3519    0.218      1:53.7
400   3674    0.217      1:59.7
420   3833    0.216232   2:05.7
440   3956    0.215      2:11.6
460   4119    0.207      2:17.4
480   4307    0.177      2:23.3
500   4516    0.175      2:29.3
520   4736    0.172018   2:35.3
540   4929    0.166      2:41.3
560   5126    0.164      2:47.2
580   5299    0.162      2:53.4
600   5481    0.16       2:59.5
620   5645    0.158      3:05.8
640   5795    0.156      3:11.7
660   5945    0.155      3:17.7
680   6094    0.154      3:23.9
700   6239    0.151      3:29.9
720   6391    0.15       3:36.0
740   6536    0.148      3:42.3
760   6706    0.144      3:48.3
780   6849    0.14       3:54.1
800   7012    0.135      4:00.0
820   7211    0.133      4:05.9
840   7422    0.132      4:11.8
860   7606    0.131      4:17.6
880   7804    0.131      4:23.6
900   7999    0.13       4:29.5
920   8189    0.128      4:35.4
940   8378    0.126      4:41.2
960   8563    0.126      4:47.1
980   8725    0.123024   4:53.0
1000  8905    0.122      4:59.0
1020  9080    0.118      5:05.2
1040  9252    0.115947   5:11.2
1060  9437    0.11       5:17.1
1080  9653    0.105      5:23.3
1100  9868    0.104      5:29.6
1120  10105   0.102      5:35.7
1140  10344   0.0985     5:41.9
1160  10584   0.0962     5:48.2
1180  10801   0.0951     5:54.2
1200  11025   0.0934     6:00.2
1220  11242   0.0922     6:06.2
1240  11438   0.0918     6:12.4
