# Voltage [mV]	Duration [ms]
 5.98234872879278328e+01	 9.99747825720660217e+02
 3.53278138009188183e+01	 9.99753923540057144e+02
-4.76254665236133548e+01	 2.16434828864813426e+02
-1.06584025653127128e+02	 3.41421713775932801e+02
-8.99061030719446705e+01	 6.40646720781322188e+02
-8.07083730999280959e+01	 3.77415047755718660e+02
-1.19033771839872657e+02	 9.97821223675365786e+02
-7.45580403867986803e+01	 2.80639492515656059e+02
-6.03554139186971597e+01	 5.43961757265385586e+01
 5.97744586909841189e+01	 9.99793939797048210e+02
 2.83396879313885677e+01	 9.99710758575673708e+02
-4.78221950506831774e+01	 2.33031794172536650e+02
-1.10520998511132746e+02	 6.12470207404480789e+01
-9.91612702123409235e+01	 3.97575555597323273e+02
-7.87256037878333359e+01	 1.15873930931261199e+02
-1.02406410880259443e+02	 7.82971179838221815e+02
-6.66449272999824984e+01	 2.18528996785820709e+02
 5.99987786819407916e+01	 1.51032189464821357e+02
-9.76403991423907200e+01	 4.43151501543626296e+02
-9.76106901662332120e+01	 7.84325610827442006e+02
-1.07312959491606321e+02	 3.17308989726709342e+02
-9.53243087719964706e+01	 6.65402827160775246e+02
-1.19234502481250175e+02	 6.15638493683924480e+02
-1.10910644094992691e+02	 4.06939323775094067e+02
 5.99999984865482929e+01	 9.99999999589393042e+02
-1.19999999993365179e+02	 5.00000000718268893e+01
-1.19999999995578591e+02	 5.00000001494145181e+01
 5.96267502460711398e+01	 9.99951638758079412e+02
 3.05232148540713979e+01	 9.99550072138310611e+02
-3.96754757479703528e+01	 2.97411929590739874e+02
-1.19807872800097471e+02	 7.24739605000298639e+02
-1.06025518392341894e+02	 2.25338585364969788e+02
-1.07932496695798704e+02	 5.68005930423126074e+02
 5.96496209157736530e+01	 9.99530085556125186e+02
 3.13163663221471325e+01	 9.99473673018168483e+02
-4.18730038379865306e+01	 1.86802559698319556e+02
 5.99999988889769895e+01	 9.99877616344807620e+02
 5.99999687954241097e+01	 9.99763575306935991e+02
 5.99999999853066299e+01	 9.99959261019757719e+02
-6.60605751857265773e+01	 7.27258508809448585e+02
-1.19872921885365415e+02	 9.31177670696457426e+02
 6.69799657384828606e-03	 5.00380088712574889e+01
 5.99898295804312340e+01	 1.59005813985358827e+02
-1.19999808635708177e+02	 9.99999019834861656e+02
-5.52468362327345517e+01	 9.99625790012919083e+02
