Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.4	150.0
Set	-81.2	99.0
Set	-111.6	1055.0
Set	59.9	227.0
Set	-75.0	350.0
Set	54.7	35.0
Set	-69.9	149.0
Set	37.1	109.0
Set	-97.2	137.0
Set	38.1	907.0
Set	-83.8	107.0
Set	-36.6	929.0
Set	-110.5	52.0
Set	45.2	40.0
Set	-96.9	71.0
Set	29.7	207.0
Set	-108.9	58.0
Set	8.5	664.0
Set	-30.5	61.0
Set	-98.7	49.0
Set	-9.5	186.0
Set	57.4	104.0
Set	-61.2	89.0
Set	59.4	20.0
Set	-102.2	34.0
Set	-37.7	289.0
Set	48.8	592.0
Set	-45.7	302.0
Set	17.4	28.0
Set	-90.8	20.0
Set	48.9	891.0
Set	-97.5	165.0
Set	27.0	656.0
Set	-103.4	58.0
Set	-29.8	48.0
Set	-75.0	251.0
Set	-7.8	176.0
Set	-114.1	99.0
Set	-4.2	37.0
Set	49.1	116.0
Set	-87.4	37.0
Set	5.1	35.0
Set	-49.0	632.0
Set	-101.2	45.0
Set	-36.7	57.0
Set	-64.6	96.0
Set	-81.0	87.0
Set	38.3	72.0
Set	59.9	182.0
Set	-99.3	31.0
Set	-21.1	21.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
